Title,Name [personal] (Creator),Place of Origin,Manufacturer,Date Issued,Subject - Topic,Abstract (Description),Contributing Repository
Voigtländer Jubilar,"Furlow, Kent",Braunschweig (Germany),Voigtl&auml;nder & Sohn,Circa 1931,Cameras--Germany--Braunschweig--Specimens; Voigtlander camera--Specimens,"The Voigtl&auml;nder is a folding bellows type camera; 6 x 9 cm. This specimen has minor corrosion and some lifting of leather outer cover, otherwise good condition.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Leica Standard black [no. 123157],"Furlow, Kent",Wetzlar (Germany),Ernst Leitz (Firm),1934,Cameras--Germany--Weltzar--Specimens; Leica camera--Specimens,"The Leica standard is the successor of the Leica I, which does not have a coupled rangefinder but a very bright telescope viewfinder. It is a 35mm camera. Production began shortly after the Leica II. Leica standard was produced from 1932 to 1950. This model was produced in almost equal quantities of black or chrome versions. This camera has a complete leather case. There are no cards in the case pocket.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Imperial Six-twenty snapshot camera,"Furlow, Kent",Chicago (Ill.),Herbert George Co.,Circa 1960,Cameras--Illinois--Chicago--Specimens,"The Imperial Six-twenty Snaphot is a bakelite plastic box camera. The lens is fixed-focus at f/11 aperture; the shutter is fixed at 1/60 seconds; it uses 620 film which is advanced by rotating the large knob.The Herbert George Co. of Chicago later became the Imperial Camera Corporation, where the same camera was sold under variable names such as the Herco Imperial 620 Snap Shot.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Kodak No. 3-A Folding Brownie,"Furlow, Kent",Rochester (N.Y.),Eastman Kodak Company,1905-1915,Cameras--New York (State)--Rochester--Specimens; Brownie camera--Specimens; Kodak camera--Specimens,"A folding bellows type camera for which 122 film was introduced and produced large 3 1/4 x 5 1/2"" negatives. The tubular device on the lens front was a pneumatic shutter release, a common feature on cameras of this era.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Kodak Jiffy,"Furlow, Kent",Rochester (N.Y.),Eastman Kodak Company,1933-1937,Cameras--New York (State)--Rochester--Specimens; Kodak camera--Specimens,"The Jiffy Kodak Six-20 was a folding camera for 620 film rolls made by Eastman Kodak Co. Ltd. Rochester in the years from 1933 to 1937. It had a Twindar lens with has two focusing options: 5 to 10 feet & beyond 10 feet. Only two apertures were selectable but it had two viewfinders in the pop out lensboard, one for vertical and one for horizontal images. The Kodak Jiffy Six-20 originally sold for $6.75. This model, the “Art Deco” version, differs from the base model in that the front has a grid of lines surrounding the lens.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Bell & Howell 134,"Furlow, Kent",Chicago (Ill.),Bell & Howell Co.,Circa 1950,Cameras--Illinois--Chicago--Specimens,"The Bell & Howell 134 is an 8mm motion picture camera. The lens is Bell & Howell Super Comat 0.5 inch f/1.9-22 with camera speeds of 8-64 frames per second.The Bell & Howell Company was incorporated in 1907 by two projectionists, Donald J. Bell and Albert Summers Howell.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Univex Mercury CC,"Furlow, Kent",New York (N.Y.),Universal Camera Corporation,1938-1942,Cameras--New York (State)--New York--Specimens,"The Univex Mercury CC is a 35mm half-frame 35mm camera made of uncoated cast aluminum. The housing on the top of the camera is for the rotary shutter blades, the shutter speed being altered by changing the gap between the two blades; it is not simply a disc with a hole in it. Speeds of 1000th sec are possible. The camera takes 18x24mm vertical exposures, dictated by the rotary shutter, resulting in 65 frames out of one roll of 35mm film. The shutter is extremely smooth.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Graflex Century 35,"Furlow, Kent",Japan,Kowa,1956-1960,Cameras--Japan--Specimens; Graflex camera--Specimens,"The Graflex Century 35 was made by Kowa in Japan and imported by Graflex to USA. It is a 35mm camera. The lens is Kowa Opt. Works Prominar F.C. f/3.5, 45mm; shutter speeds B. 1-1/500.  From 1905 to 1926 the company was a division of Eastman Kodak in Rochester, New York. When a court had ordered that Kodak had to sell its Folmer & Schwing division no buyers appeared. A new company was founded which was named Folmer Graflex Corporation in 1928. In 1945 it was renamed to Graflex Inc.. From the days of depression of the 1930s to 1957 the company grew from 100 to 760 employees. It made successfully sophisticated SLRs and press cameras as well as TLRs and several 35mm cameras.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Leica IIIb [no. 321658],"Furlow, Kent",Wetzlar (Germany),Ernst Leitz (Firm),1939,Cameras--Germany--Weltzar--Specimens; Leica camera--Specimens,"The original Leica model III was introduced in 1933 as the first Leica with slow shutter speeds (below 1/20sec.). The model III was manufactured in a series of versions incorporating various improvements until production ended in 1960 with the model IIIg. The model IIIb brought rangefinder and viewfinder eyepieces closer together for greater speed and ease of focusing and composing. This camera has a partial leather case with the top/front piece missing. The remaining part of the case has a small pocket in the back in which are two U.S. Customs Entry cards, one for the camera - number 321658, and one for the lens - number 496636. The camera card has on it the following holographic inscription: Fonville Winans, 667 Laurel, Baton Rouge, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Graflex Stereo Graphic,"Furlow, Kent",Rochester (N.Y.),Graflex,1956,Cameras--New York (State)--Rochester--Specimens; Graflex camera--Specimens,"As early as 1841, photographers experimented with stereographs, using cameras with two lenses to record images at slightly different angles. When seen in a stereo viewer, the two images are seen as a three-dimensional picture. Interest in stereographic photography has waxed and waned, with periods of popularity in the 1850/60s, the early 1900s, and late 1940s/early 50s. Representing this latest period was the Stereo Graphic, a fixed-focus camera using lenses focused to different distances.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Agfa Ansco PD16 Clipper,"Furlow, Kent",Binghamton (N.Y.),Agfa Ansco (Firm),Circa 1935,Cameras--New York (State)--Binghamton--Specimens; Agfa camera--Specimens,"The Agfa Ansco PD16 Clipper is a box roll film camera. It is 616 format with a fixed lens.  Ansco was an American manufacturer of camera equipment in Binghamton, New York. E & HT Anthony & Co was formed in 1842. This company was the first to patent a roll-film holder that could be loaded in light.  E & HT Anthony was renamed Anthony and Scoville in 1901; this name being abbreviated to Ansco. Ansco merged with Agfa in 1928, to be called Agfa-Ansco. The company became GAF in 1967, and in 1977, Haking of Hong Kong acquired rights to the Ansco trademark. Ansco cameras continued to be made until the 1990s.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Aerial spotting camera, U.S. Army Signal Corps","Furlow, Kent",Stamford (Conn.),"Kalart Company, Inc.",Circa 1943-1965,Cameras--Connecticut--Stamford--Specimens; Photographic reconnaissance systems--Connecticut--Stamford--Specimens; Polaroid Land camera--Specimens,This is a U.S. Army Signal Corps military issue aerial reconnaissance spotting camera with a Polaroid Land type camera back.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Aircraft camera K 20,"Furlow, Kent",Rochester (N.Y.),Folmer Graflex Corporation,1941-1945,Cameras--New York (State)--Rochester--Specimens; Photographic reconnaissance systems--New York--Rochester--Specimens,"The K-20 is a military issue aerial camera used during World War II, used roll film and was 4x5 inch format. This specimen is missing the lens.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Folmer & Schwing Focal plane shutter [?],"Furlow, Kent",Rochester (N.Y.),"Folmer & Schwing Manufacturing Co. (New York, N.Y.)",Circa 1915-1965,Camera shutters--New York (State)--Rochester--Specimens,This appears to be a modified focal plane shutter. The purpose of the modification remains a mystery.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
